ura_carpark_name,type_of_lot,number_of_lots,lot_type
ANN SIANG ROAD,Motor Car,26,C
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Motor Car,0,C
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Motor Car,0,C
BACKLANE BET HONGKONG ST/CARPENTER STREET,Motor Car,0,C
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Motor Car,0,C
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Motor Car,0,C
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Motor Car,0,C
BACKLANE BET TEMPLE STREET/PAGODA STREET,Motor Car,0,C
BACKLANE BET TEMPLE STREET/SMITH STREET,Motor Car,0,C
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Motor Car,0,C
BACKLANE OFF BUKIT PASOH ROAD,Motor Car,0,C
BACKLANE OFF GEMMILL LANE,Motor Car,0,C
BACKLANE OFF KEONG SAIK ROAD,Motor Car,0,C
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Motor Car,0,C
BACKLANE OFF SMITH STREET,Motor Car,0,C
BACKLANE OFF TECK LIM ROAD,Motor Car,0,C
BANDA STREET,Motor Car,11,C
BANDA STREET / SAGO LANE OFF STREET,Motor Car,60,C
BUKIT PASOH ROAD,Motor Car,43,C
CARPENTER STREET,Motor Car,35,C
CARPENTER STREET OFF STREET,Motor Car,69,C
CLUB STREET,Motor Car,29,C
CLUB STREET OFF STREET,Motor Car,87,C
DUXTON HILL OFF STREET,Motor Car,58,C
GEMMILL LANE,Motor Car,7,C
HONG KONG STREET,Motor Car,29,C
HONG LIM PARK OFF STREET,Motor Car,23,C
JIAK CHUAN ROAD,Motor Car,14,C
KEONG SAIK ROAD,Motor Car,68,C
MND COMPLEX (BASEMENT),Motor Car,506,C
MND COMPLEX (SURFACE),Motor Car,103,C
MOSQUE STREET,Motor Car,61,C
NEIL ROAD,Motor Car,7,C
NEIL ROAD OFF STREET,Motor Car,15,C
NEW MARKET ROAD,Motor Car,4,C
NORTH CANAL ROAD,Motor Car,24,C
TECK LIM ROAD,Motor Car,14,C
TEMPLE STREET,Motor Car,61,C
TEO HONG ROAD,Motor Car,17,C
TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,Motor Car,31,C
UPPER CIRCULAR ROAD,Motor Car,22,C
UPPER HOKKIEN STREET,Motor Car,31,C
FIFTH LOK YANG ROAD,Motor Car,14,C
FIRST LOK YANG ROAD,Motor Car,44,C
FOURTH LOK YANG ROAD,Motor Car,23,C
LOK YANG WAY,Motor Car,119,C
NEYTHAL ROAD,Motor Car,55,C
SECOND LOK YANG ROAD,Motor Car,22,C
SIXTH LOK YANG ROAD,Motor Car,21,C
THIRD LOK YANG ROAD,Motor Car,30,C
LOYANG CRESCENT,Motor Car,34,C
BURN ROAD,Motor Car,15,C
CIRCUIT ROAD,Motor Car,67,C
HAPPY AVENUE NORTH,Motor Car,11,C
HARRISON ROAD,Motor Car,6,C
HARVEY ROAD,Motor Car,8,C
HOWARD ROAD,Motor Car,9,C
IRVING PLACE,Motor Car,14,C
IRVING ROAD,Motor Car,6,C
JALAN ANGGEREK,Motor Car,21,C
JALAN MESIN,Motor Car,8,C
JOO SENG ROAD,Motor Car,20,C
KAMPONG AMPAT,Motor Car,14,C
LITTLE ROAD,Motor Car,6,C
MACPHERSON ROAD,Motor Car,28,C
MACTAGGART ROAD,Motor Car,10,C
PHENG GECK AVENUE,Motor Car,32,C
PUAY HEE AVENUE,Motor Car,11,C
SERVICE ROAD OFF MACPHERSON ROAD,Motor Car,28,C
SHAW ROAD,Motor Car,15,C
SIAK KEW AVENUE,Motor Car,4,C
SIANG KUANG AVENUE,Motor Car,13,C
TAI THONG CRESCENT,Motor Car,39,C
UPPER ALJUNIED LINK OFF-ST,Motor Car,15,C
UPPER PAYA LEBAR ROAD SERVICE ROAD,Motor Car,11,C
BAYFRONT AVENUE OFF STREET,Motor Car,251,C
DEVONSHIRE ROAD,Motor Car,9,C
DUBLIN ROAD,Motor Car,7,C
EMERALD HILL ROAD,Motor Car,31,C
EMERALD LINK,Motor Car,16,C
GRANGE ROAD / SOMERSET ROAD OFF STREET,Motor Car,118,C
HULLET ROAD,Motor Car,4,C
HULLET ROAD OFF STREET,Motor Car,26,C
KILLINEY ROAD,Motor Car,27,C
LLOYD ROAD,Motor Car,14,C
PENANG LANE,Motor Car,16,C
PENANG ROAD OFF STREET,Motor Car,19,C
SAUNDERS ROAD,Motor Car,33,C
PANDAN AVENUE,Motor Car,16,C
PANDAN CRESCENT,Motor Car,8,C
PANDAN GARDENS,Motor Car,0,C
PANDAN LOOP,Motor Car,60,C
PANDAN ROAD,Motor Car,91,C
TEBAN GARDENS CRESCENT,Motor Car,106,C
CLEMENTI STADIUM (SSC),Motor Car,26,C
JALAN MAS KUNING,Motor Car,25,C
JALAN MAS PUTEH,Motor Car,23,C
JALAN PELEPAH OFF STREET,Motor Car,54,C
NEO PEE TECK LANE,Motor Car,4,C
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,Motor Car,76,C
PASIR PANJANG FOOD CENTRE OFF STREET,Motor Car,61,C
PASIR PANJANG ROAD,Motor Car,7,C
PASIR PANJANG ROAD / LABRADOR VILLA ROAD,Motor Car,24,C
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,Motor Car,26,C
PASIR PANJANG ROAD OFF STREET,Motor Car,22,C
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,Motor Car,48,C
PEPYS ROAD OFF STREET,Motor Car,32,C
TAMAN MAS MERAH,Motor Car,13,C
WEST COAST PARK 1 OFF STREET,Motor Car,58,C
WISHART ROAD,Motor Car,38,C
LOYANG DRIVE,Motor Car,30,C
LOYANG LANE,Motor Car,26,C
LOYANG STREET,Motor Car,18,C
LOYANG WAY,Motor Car,69,C
LOYANG WAY 1,Motor Car,10,C
PASIR RIS CLOSE OFF STREET,Motor Car,302,C
PASIR RIS DRIVE 1 HEAVY VEHICLE PARK,Motor Car,0,C
PASIR RIS PARK CAR PARK E OFF STREET,Motor Car,27,C
TAMPINES INDUSTRIAL AVENUE 3,Motor Car,18,C
PENJURU CLOSE,Motor Car,11,C
TANJONG PENJURU CRESCENT,Motor Car,11,C
JALAN SAMULUN OFF STREET (JTC),Motor Car,30,C
PIONEER SECTOR 1,Motor Car,121,C
PIONEER SECTOR 2,Motor Car,77,C
PIONEER SECTOR 3,Motor Car,18,C
PIONEER SECTOR WALK,Motor Car,29,C
SERVICE ROAD OFF TEBING LANE,Motor Car,22,C
TEBING LANE,Motor Car,10,C
CHANG CHARN ROAD,Motor Car,13,C
HOY FATT ROAD,Motor Car,3,C
