ura_carpark_name,type_of_lot,number_of_lots,lot_type
LORONG 11 GEYLANG,Motor Cycle,0,Y
LORONG 12 GEYLANG,Motor Cycle,0,Y
LORONG 13 GEYLANG,Motor Cycle,0,Y
LORONG 14 GEYLANG,Motor Cycle,0,Y
LORONG 15 GEYLANG,Motor Cycle,0,Y
LORONG 16 GEYLANG,Motor Cycle,0,Y
LORONG 17 GEYLANG,Motor Cycle,0,Y
LORONG 18 GEYLANG,Motor Cycle,0,Y
LORONG 19 GEYLANG,Motor Cycle,0,Y
LORONG 20 GEYLANG,Motor Cycle,0,Y
LORONG 21 GEYLANG,Motor Cycle,0,Y
LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,Motor Cycle,0,Y
LORONG 21 GEYLANG OFF STREET,Motor Cycle,14,Y
LORONG 21A GEYLANG,Motor Cycle,0,Y
LORONG 23 GEYLANG,Motor Cycle,0,Y
LORONG 24 GEYLANG,Motor Cycle,0,Y
LORONG 24A GEYLANG,Motor Cycle,0,Y
LORONG 25 GEYLANG,Motor Cycle,0,Y
LORONG 25/25A GEYLANG OFF STREET,Motor Cycle,12,Y
LORONG 25A GEYLANG,Motor Cycle,0,Y
LORONG 26 GEYLANG,Motor Cycle,0,Y
LORONG 27 GEYLANG,Motor Cycle,0,Y
LORONG 27A GEYLANG,Motor Cycle,0,Y
LORONG 28 GEYLANG,Motor Cycle,0,Y
LORONG 28 SERVICE ROAD GEYLANG,Motor Cycle,0,Y
LORONG 29 GEYLANG,Motor Cycle,0,Y
LORONG 3 GEYLANG,Motor Cycle,0,Y
LORONG 30 GEYLANG,Motor Cycle,0,Y
LORONG 31 GEYLANG,Motor Cycle,0,Y
LORONG 31 GEYLANG OFF STREET,Motor Cycle,21,Y
LORONG 32 GEYLANG,Motor Cycle,0,Y
LORONG 33 GEYLANG,Motor Cycle,0,Y
LORONG 34 GEYLANG,Motor Cycle,0,Y
LORONG 35 GEYLANG,Motor Cycle,0,Y
LORONG 36 GEYLANG,Motor Cycle,0,Y
LORONG 36 GEYLANG OFF STREET,Motor Cycle,0,Y
LORONG 37 GEYLANG,Motor Cycle,0,Y
LORONG 37 GEYLANG OFF STREET,Motor Cycle,17,Y
LORONG 38 GEYLANG,Motor Cycle,0,Y
LORONG 39 GEYLANG,Motor Cycle,0,Y
LORONG 39 SERVICE ROAD GEYLANG,Motor Cycle,0,Y
LORONG 4 GEYLANG,Motor Cycle,0,Y
LORONG 40 GEYLANG,Motor Cycle,0,Y
LORONG 41 GEYLANG,Motor Cycle,0,Y
LORONG 6 GEYLANG,Motor Cycle,0,Y
LORONG 7 GEYLANG,Motor Cycle,0,Y
LORONG 8 GEYLANG,Motor Cycle,0,Y
LORONG 9 GEYLANG,Motor Cycle,0,Y
LORONG 9/11 GEYLANG OFF STREET,Motor Cycle,9,Y
LORONG BACHOK,Motor Cycle,0,Y
LORONG BACHOK OFF STREET,Motor Cycle,6,Y
LORONG TAHAR,Motor Cycle,0,Y
SERVICE ROAD OFF LORONG 44 GEYLANG,Motor Cycle,0,Y
SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),Motor Cycle,0,Y
SIMS AVENUE SERVICE ROAD,Motor Cycle,0,Y
SIMS PLACE,Motor Cycle,0,Y
TALMA ROAD,Motor Cycle,0,Y
TANJONG KATONG COMPLEX,Motor Cycle,72,Y
WESTERHOUT ROAD,Motor Cycle,0,Y
GUL AVENUE,Motor Cycle,0,Y
GUL CIRCLE,Motor Cycle,0,Y
GUL CRESCENT,Motor Cycle,0,Y
GUL DRIVE,Motor Cycle,0,Y
GUL LANE,Motor Cycle,0,Y
GUL ROAD,Motor Cycle,165,Y
GUL STREET 1,Motor Cycle,0,Y
GUL STREET 2,Motor Cycle,0,Y
GUL STREET 3,Motor Cycle,0,Y
GUL STREET 4,Motor Cycle,0,Y
GUL STREET 5,Motor Cycle,0,Y
DELTA CIRCUS FRINGE CAR PARK,Motor Cycle,40,Y
HAVELOCK ROAD,Motor Cycle,15,Y
OUTRAM HILL,Motor Cycle,10,Y
OUTRAM ROAD,Motor Cycle,0,Y
OUTRAM ROAD OFF STREET,Motor Cycle,6,Y
PEARL BANK OFF STREET,Motor Cycle,12,Y
ARMENIAN ST / CANNING RISE OFF ST CAR PARK,Motor Cycle,0,Y
ARMENIAN STREET,Motor Cycle,0,Y
ARMENIAN STREET OFF STREET,Motor Cycle,8,Y
CANNING RISE OFF STREET,Motor Cycle,13,Y
FORT CANNING PARK A OFF STREET,Motor Cycle,5,Y
FORT CANNING PARK B OFF STREET,Motor Cycle,12,Y
FORT CANNING PARK C OFF STREET,Motor Cycle,0,Y
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,Motor Cycle,16,Y
HOLLAND DRIVE OFF STREET,Motor Cycle,42,Y
JALAN HITAM MANIS,Motor Cycle,0,Y
JALAN KELABU ASAP,Motor Cycle,0,Y
JALAN KUNING,Motor Cycle,0,Y
JALAN MERAH SAGA,Motor Cycle,0,Y
JALAN PUTEH JERNEH,Motor Cycle,0,Y
JALAN RUMIA,Motor Cycle,0,Y
WARNA ROAD,Motor Cycle,0,Y
WARNA ROAD OFF STREET,Motor Cycle,7,Y
ALIWAL STREET,Motor Cycle,4,Y
ALLENBY ROAD,Motor Cycle,0,Y
BABOO LANE,Motor Cycle,6,Y
BACKLANE BET KELANTAN LANE/KELANTAN ROAD,Motor Cycle,8,Y
BACKLANE BET KITCHENER ROAD/PLUMER ROAD,Motor Cycle,5,Y
BACKLANE BET TOWNSHEND ROAD/JALAN BESAR,Motor Cycle,11,Y
BACKLANE OFF CAVAN ROAD,Motor Cycle,5,Y
BACKLANE OFF JALAN BERSEH,Motor Cycle,19,Y
BEATTY LANE,Motor Cycle,0,Y
CAVAN ROAD,Motor Cycle,0,Y
FOCH ROAD,Motor Cycle,10,Y
HAMILTON ROAD,Motor Cycle,0,Y
HAMILTON ROAD OFF STREET,Motor Cycle,3,Y
HORNE ROAD,Motor Cycle,8,Y
JALAN BERSEH,Motor Cycle,0,Y
JALAN BESAR,Motor Cycle,10,Y
JALAN BESAR SPORTS COMPLEX (SSC),Motor Cycle,30,Y
JELLICOE ROAD,Motor Cycle,0,Y
KALLANG ROAD/CRAWFORD STREET OFF STREET,Motor Cycle,59,Y
KELANTAN LANE,Motor Cycle,34,Y
KELANTAN ROAD,Motor Cycle,5,Y
KING GEORGE'S AVENUE OFF STREET,Motor Cycle,4,Y
KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,Motor Cycle,18,Y
MAUDE ROAD,Motor Cycle,0,Y
PENHAS ROAD,Motor Cycle,0,Y
PENHAS ROAD / LAVENDER STREET OFF STREET,Motor Cycle,0,Y
PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),Motor Cycle,0,Y
PLUMER ROAD,Motor Cycle,0,Y
SERVICE ROAD BET HAMILTON RD/CAVAN RD,Motor Cycle,0,Y
SERVICE ROAD BETWEEN PETAIN RD/ALLENBY RD,Motor Cycle,0,Y
SERVICE ROAD OFF KING GEORGE'S AVENUE,Motor Cycle,0,Y
SERVICE ROAD OFF PENHAS ROAD,Motor Cycle,0,Y
SUNGEI ROAD OFF STREET,Motor Cycle,17,Y
SUNGEI ROAD(WELD ROAD/ KELANTAN ROAD),Motor Cycle,0,Y
TOWNSHEND ROAD,Motor Cycle,0,Y
TYRWHITT ROAD,Motor Cycle,0,Y
JOO KOON CIRCLE,Motor Cycle,0,Y
JOO KOON CRESCENT,Motor Cycle,0,Y
JOO KOON ROAD,Motor Cycle,0,Y
JOO KOON WAY,Motor Cycle,0,Y
SCIENCE CENTRE ROAD,Motor Cycle,0,Y
TOH GUAN ROAD,Motor Cycle,0,Y
BOON LAY SWIMMING COMPLEX (SSC),Motor Cycle,12,Y
BULIM AVENUE HVP,Motor Cycle,0,Y
JALAN BAHAR HEAVY VEHICLE PARK,Motor Cycle,0,Y
32 TO 53 KALLANG PLACE (JTC),Motor Cycle,10,Y
ALJUNIED ROAD (MINOR),Motor Cycle,0,Y
BENDEMEER ROAD HEAVY VEHICLE PARK,Motor Cycle,0,Y
GENTING LANE,Motor Cycle,0,Y
GENTING LANE OFF STREET,Motor Cycle,0,Y
GENTING LINK,Motor Cycle,0,Y
GENTING ROAD,Motor Cycle,0,Y
JALAN LEMBAH KALLANG,Motor Cycle,0,Y
KALLANG AVENUE,Motor Cycle,0,Y
KALLANG BAHRU,Motor Cycle,0,Y
KALLANG BASIN SWIMMING COMPLEX (SSC),Motor Cycle,6,Y
KALLANG SECTOR,Motor Cycle,0,Y
KALLANG WAY,Motor Cycle,0,Y
KALLANG WAY 1,Motor Cycle,0,Y
KALLANG WAY 2A,Motor Cycle,0,Y
KEMPAS ROAD,Motor Cycle,17,Y
LORONG BAKAR BATU,Motor Cycle,0,Y
LORONG PENDEK,Motor Cycle,0,Y
SERVICE ROAD OFF GENTING LANE,Motor Cycle,0,Y
SOON WING ROAD,Motor Cycle,0,Y
TANNERY LANE,Motor Cycle,0,Y
KALLANG SPORTS COMPLEX CAR PARK 4(SSC),Motor Cycle,55,Y
KALLANG SPORTS COMPLEX CAR PARK 5(SSC),Motor Cycle,32,Y
KATONG SWIMMING POOL (SSC),Motor Cycle,9,Y
OLD AIRPORT ROAD,Motor Cycle,4,Y
WILKINSON ROAD,Motor Cycle,0,Y
BACKLANE OFF BLAIR RD/ SPOTTISWOODE PARK ROAD,Motor Cycle,8,Y
BLAIR ROAD,Motor Cycle,0,Y
EVERTON ROAD,Motor Cycle,0,Y
HOSPITAL DRIVE CAR PARK B OFF STREET,Motor Cycle,14,Y
KEPPEL ROAD OFF STREET,Motor Cycle,22,Y
SERVICE ROAD OFF EVERTON ROAD,Motor Cycle,0,Y
SPOTTISWOODE PARK ROAD,Motor Cycle,0,Y
ARAB STREET,Motor Cycle,13,Y
BACKLANE BET ARAB STREET/JALAN PINANG,Motor Cycle,10,Y
BACKLANE BET BAGHDAD STREET/MUSCAT STREET,Motor Cycle,19,Y
BACKLANE BET JALAN SULTAN/ALIWAL STREET,Motor Cycle,20,Y
BACKLANE OFF BAGHDAD STREET,Motor Cycle,10,Y
BACKLANE OFF NORTH BRIDGE ROAD,Motor Cycle,5,Y
BAGHDAD STREET,Motor Cycle,0,Y
BAGHDAD STREET OFF STREET,Motor Cycle,7,Y
BALI LANE,Motor Cycle,0,Y
BEACH ROAD,Motor Cycle,0,Y
BUSSORAH STREET,Motor Cycle,0,Y
JALAN KLAPA,Motor Cycle,2,Y
JALAN KLEDEK,Motor Cycle,0,Y
JALAN KLEDEK OFF STREET,Motor Cycle,0,Y
JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),Motor Cycle,4,Y
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),Motor Cycle,0,Y
JALAN PINANG,Motor Cycle,0,Y
JALAN PISANG,Motor Cycle,0,Y
JALAN SULTAN,Motor Cycle,0,Y
KANDAHAR STREET,Motor Cycle,3,Y
NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),Motor Cycle,2,Y
NORTH BRIDGE ROAD MARKET OFF STREET,Motor Cycle,7,Y
NORTH BRIDGE ROAD OFF STREET,Motor Cycle,20,Y
PAHANG STREET,Motor Cycle,3,Y
PAHANG STREET OFF STREET,Motor Cycle,0,Y
SERVICE ROAD OFF ALIWAL STREET,Motor Cycle,0,Y
SULTAN GATE,Motor Cycle,0,Y
SULTAN GATE / ALIWAL STREET COACH PARK,Motor Cycle,0,Y
SULTAN GATE / ALIWAL STREET OFF STREET,Motor Cycle,4,Y
231-287 KRANJI ROAD (JTC),Motor Cycle,35,Y
SUNGEI KADUT AVENUE,Motor Cycle,0,Y
SUNGEI KADUT CRESCENT,Motor Cycle,0,Y
SUNGEI KADUT DRIVE,Motor Cycle,0,Y
SUNGEI KADUT LOOP,Motor Cycle,0,Y
SUNGEI KADUT STREET 1,Motor Cycle,0,Y
SUNGEI KADUT STREET 3,Motor Cycle,0,Y
SUNGEI KADUT WAY,Motor Cycle,0,Y
ANN SIANG ROAD,Motor Cycle,0,Y
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Motor Cycle,21,Y
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Motor Cycle,9,Y
BACKLANE BET HONGKONG ST/CARPENTER STREET,Motor Cycle,7,Y
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Motor Cycle,7,Y
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Motor Cycle,8,Y
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Motor Cycle,5,Y
BACKLANE BET TEMPLE STREET/PAGODA STREET,Motor Cycle,10,Y
BACKLANE BET TEMPLE STREET/SMITH STREET,Motor Cycle,13,Y
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Motor Cycle,20,Y
BACKLANE OFF BUKIT PASOH ROAD,Motor Cycle,12,Y
BACKLANE OFF GEMMILL LANE,Motor Cycle,6,Y
BACKLANE OFF KEONG SAIK ROAD,Motor Cycle,7,Y
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Motor Cycle,6,Y
BACKLANE OFF SMITH STREET,Motor Cycle,15,Y
BACKLANE OFF TECK LIM ROAD,Motor Cycle,12,Y
BANDA STREET,Motor Cycle,0,Y
BANDA STREET / SAGO LANE OFF STREET,Motor Cycle,5,Y
BUKIT PASOH ROAD,Motor Cycle,0,Y
CARPENTER STREET,Motor Cycle,0,Y
CARPENTER STREET OFF STREET,Motor Cycle,9,Y
CLUB STREET,Motor Cycle,7,Y
CLUB STREET OFF STREET,Motor Cycle,5,Y
DUXTON HILL OFF STREET,Motor Cycle,0,Y
GEMMILL LANE,Motor Cycle,0,Y
HONG KONG STREET,Motor Cycle,0,Y
HONG LIM PARK OFF STREET,Motor Cycle,6,Y
JIAK CHUAN ROAD,Motor Cycle,0,Y
KEONG SAIK ROAD,Motor Cycle,6,Y
MND COMPLEX (BASEMENT),Motor Cycle,70,Y
MND COMPLEX (SURFACE),Motor Cycle,44,Y
MOSQUE STREET,Motor Cycle,4,Y
NEIL ROAD,Motor Cycle,0,Y
NEIL ROAD OFF STREET,Motor Cycle,0,Y
NEW MARKET ROAD,Motor Cycle,22,Y
NORTH CANAL ROAD,Motor Cycle,0,Y
TECK LIM ROAD,Motor Cycle,0,Y
TEMPLE STREET,Motor Cycle,0,Y
TEO HONG ROAD,Motor Cycle,0,Y
TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,Motor Cycle,0,Y
UPPER CIRCULAR ROAD,Motor Cycle,0,Y
UPPER HOKKIEN STREET,Motor Cycle,15,Y
FIFTH LOK YANG ROAD,Motor Cycle,0,Y
FIRST LOK YANG ROAD,Motor Cycle,0,Y
FOURTH LOK YANG ROAD,Motor Cycle,0,Y
LOK YANG WAY,Motor Cycle,0,Y
NEYTHAL ROAD,Motor Cycle,0,Y
SECOND LOK YANG ROAD,Motor Cycle,0,Y
SIXTH LOK YANG ROAD,Motor Cycle,0,Y
THIRD LOK YANG ROAD,Motor Cycle,0,Y
LOYANG CRESCENT,Motor Cycle,0,Y
BURN ROAD,Motor Cycle,0,Y
CIRCUIT ROAD,Motor Cycle,18,Y
HAPPY AVENUE NORTH,Motor Cycle,0,Y
HARRISON ROAD,Motor Cycle,0,Y
HARVEY ROAD,Motor Cycle,0,Y
HOWARD ROAD,Motor Cycle,0,Y
IRVING PLACE,Motor Cycle,0,Y
IRVING ROAD,Motor Cycle,0,Y
JALAN ANGGEREK,Motor Cycle,0,Y
JALAN MESIN,Motor Cycle,0,Y
JOO SENG ROAD,Motor Cycle,0,Y
KAMPONG AMPAT,Motor Cycle,0,Y
LITTLE ROAD,Motor Cycle,0,Y
MACPHERSON ROAD,Motor Cycle,0,Y
MACTAGGART ROAD,Motor Cycle,0,Y
PHENG GECK AVENUE,Motor Cycle,0,Y
PUAY HEE AVENUE,Motor Cycle,0,Y
SERVICE ROAD OFF MACPHERSON ROAD,Motor Cycle,0,Y
SHAW ROAD,Motor Cycle,0,Y
SIAK KEW AVENUE,Motor Cycle,0,Y
SIANG KUANG AVENUE,Motor Cycle,0,Y
TAI THONG CRESCENT,Motor Cycle,0,Y
UPPER ALJUNIED LINK OFF-ST,Motor Cycle,0,Y
UPPER PAYA LEBAR ROAD SERVICE ROAD,Motor Cycle,0,Y
BAYFRONT AVENUE OFF STREET,Motor Cycle,176,Y
DEVONSHIRE ROAD,Motor Cycle,0,Y
DUBLIN ROAD,Motor Cycle,0,Y
EMERALD HILL ROAD,Motor Cycle,0,Y
EMERALD LINK,Motor Cycle,14,Y
GRANGE ROAD / SOMERSET ROAD OFF STREET,Motor Cycle,66,Y
HULLET ROAD,Motor Cycle,0,Y
HULLET ROAD OFF STREET,Motor Cycle,0,Y
KILLINEY ROAD,Motor Cycle,0,Y
LLOYD ROAD,Motor Cycle,0,Y
PENANG LANE,Motor Cycle,18,Y
PENANG ROAD OFF STREET,Motor Cycle,0,Y
SAUNDERS ROAD,Motor Cycle,0,Y
PANDAN AVENUE,Motor Cycle,0,Y
PANDAN CRESCENT,Motor Cycle,0,Y
PANDAN GARDENS,Motor Cycle,0,Y
PANDAN LOOP,Motor Cycle,0,Y
PANDAN ROAD,Motor Cycle,0,Y
TEBAN GARDENS CRESCENT,Motor Cycle,0,Y
CLEMENTI STADIUM (SSC),Motor Cycle,12,Y
JALAN MAS KUNING,Motor Cycle,0,Y
JALAN MAS PUTEH,Motor Cycle,15,Y
JALAN PELEPAH OFF STREET,Motor Cycle,8,Y
NEO PEE TECK LANE,Motor Cycle,0,Y
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,Motor Cycle,16,Y
PASIR PANJANG FOOD CENTRE OFF STREET,Motor Cycle,17,Y
PASIR PANJANG ROAD,Motor Cycle,0,Y
PASIR PANJANG ROAD / LABRADOR VILLA ROAD,Motor Cycle,4,Y
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,Motor Cycle,16,Y
PASIR PANJANG ROAD OFF STREET,Motor Cycle,0,Y
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,Motor Cycle,3,Y
PEPYS ROAD OFF STREET,Motor Cycle,0,Y
TAMAN MAS MERAH,Motor Cycle,0,Y
WEST COAST PARK 1 OFF STREET,Motor Cycle,10,Y
WISHART ROAD,Motor Cycle,0,Y
LOYANG DRIVE,Motor Cycle,32,Y
LOYANG LANE,Motor Cycle,0,Y
LOYANG STREET,Motor Cycle,0,Y
LOYANG WAY,Motor Cycle,17,Y
LOYANG WAY 1,Motor Cycle,0,Y
PASIR RIS CLOSE OFF STREET,Motor Cycle,64,Y
PASIR RIS DRIVE 1 HEAVY VEHICLE PARK,Motor Cycle,0,Y
PASIR RIS PARK CAR PARK E OFF STREET,Motor Cycle,10,Y
TAMPINES INDUSTRIAL AVENUE 3,Motor Cycle,10,Y
PENJURU CLOSE,Motor Cycle,0,Y
TANJONG PENJURU CRESCENT,Motor Cycle,0,Y
JALAN SAMULUN OFF STREET (JTC),Motor Cycle,10,Y
PIONEER SECTOR 1,Motor Cycle,0,Y
PIONEER SECTOR 2,Motor Cycle,34,Y
PIONEER SECTOR 3,Motor Cycle,0,Y
PIONEER SECTOR WALK,Motor Cycle,0,Y
SERVICE ROAD OFF TEBING LANE,Motor Cycle,0,Y
TEBING LANE,Motor Cycle,0,Y
CHANG CHARN ROAD,Motor Cycle,0,Y
HOY FATT ROAD,Motor Cycle,0,Y
JALAN PENJARA,Motor Cycle,0,Y
JALAN PENJARA OFF STREET,Motor Cycle,0,Y
KUNG CHONG ROAD,Motor Cycle,10,Y
LENG KEE ROAD,Motor Cycle,0,Y
MARGARET DRIVE OFF STREET,Motor Cycle,13,Y
QUEEN'S CRESCENT HEAVY VEHICLE PARK,Motor Cycle,0,Y
QUEENSTOWN SPORTS COMPLEX (SSC),Motor Cycle,0,Y
QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),Motor Cycle,15,Y
TANGLIN HALT CLOSE,Motor Cycle,0,Y
CLEMENCEAU AVENUE OFF STREET,Motor Cycle,5,Y
KELLOCK ROAD,Motor Cycle,0,Y
KIM YAM ROAD,Motor Cycle,0,Y
MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,Motor Cycle,5,Y
MOHAMED SULTAN ROAD,Motor Cycle,24,Y
MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,Motor Cycle,0,Y
RIVER VALLEY ROAD(BET TANK RD/ZION RD),Motor Cycle,0,Y
SERVICE ROAD OFF ZION ROAD,Motor Cycle,0,Y
TAN TYE PLACE,Motor Cycle,0,Y
TANK ROAD,Motor Cycle,12,Y
UNITY STREET,Motor Cycle,0,Y
ZION CLOSE,Motor Cycle,0,Y
ZION ROAD,Motor Cycle,0,Y
ZION ROAD OFF STREET,Motor Cycle,0,Y
BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET,Motor Cycle,16,Y
BACKLANE OFF PURVIS STREET,Motor Cycle,9,Y
BACKLANE OFF SEAH STREET,Motor Cycle,3,Y
CHENG YAN PLACE,Motor Cycle,15,Y
LIANG SEAH STREET,Motor Cycle,10,Y
LIANG SEAH STREET OFF STREET,Motor Cycle,8,Y
MACKENZIE ROAD,Motor Cycle,3,Y
MACKENZIE ROAD A OFF STREET,Motor Cycle,5,Y
MACKENZIE ROAD B OFF STREET,Motor Cycle,33,Y
MACKENZIE ROAD C OFF STREET,Motor Cycle,0,Y
MANILA STREET,Motor Cycle,11,Y
MAYNE ROAD,Motor Cycle,0,Y
MIDDLE ROAD OFF STREET,Motor Cycle,2,Y
MOUNT EMILY ROAD,Motor Cycle,3,Y
NIVEN ROAD,Motor Cycle,5,Y
PRINSEP STREET (MIDDLE/ROCHOR CANAL),Motor Cycle,26,Y
PURVIS STREET,Motor Cycle,6,Y
QUEEN STREET,Motor Cycle,32,Y
QUEEN STREET (ARAB STREET / ROCHOR ROAD),Motor Cycle,12,Y
QUEEN STREET / ROCHOR ROAD OFF STREET,Motor Cycle,47,Y
QUEEN STREET OFF STREET,Motor Cycle,19,Y
SEAH STREET,Motor Cycle,4,Y
SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),Motor Cycle,0,Y
SHORT STREET,Motor Cycle,0,Y
SOPHIA ROAD,Motor Cycle,6,Y
TAN QUEE LAN STREET,Motor Cycle,19,Y
WATERLOO STREET,Motor Cycle,5,Y
WILKIE ROAD,Motor Cycle,12,Y
JALAN DERUM,Motor Cycle,0,Y
JALAN LEGUNDI,Motor Cycle,0,Y
JALAN TAMPANG,Motor Cycle,17,Y
SEMBAWANG DRIVE HEAVY VEHICLE PARK,Motor Cycle,0,Y
SEMBAWANG RD/ADMIRALTY RD EAST OFF STREET,Motor Cycle,15,Y
SEMBAWANG ROAD OFF STREET,Motor Cycle,12,Y
SEMBONG ROAD,Motor Cycle,0,Y
SENOKO AVENUE,Motor Cycle,0,Y
SENOKO DRIVE,Motor Cycle,0,Y
SENOKO ROAD,Motor Cycle,0,Y
SENOKO SOUTH ROAD,Motor Cycle,0,Y
SENOKO WAY,Motor Cycle,0,Y
SERVICE ROAD OFF SEMBAWANG ROAD,Motor Cycle,13,Y
SENGKANG EAST AND WEST WAY,Motor Cycle,0,Y
BACKLANE BET CLIVE STREET/MADRAS STREET,Motor Cycle,11,Y
BACKLANE BET CUFF ROAD /VEERASAMY ROAD,Motor Cycle,11,Y
BACKLANE BET DICKSON ROAD/DUNLOP STREET,Motor Cycle,6,Y
BACKLANE BET DICKSON ROAD/UPPER WELD ROAD,Motor Cycle,5,Y
BACKLANE BET HINDOO ROAD/ROWELL ROAD,Motor Cycle,4,Y
BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD,Motor Cycle,10,Y
BACKLANE BET MAYO STREET/DUNLOP STREET,Motor Cycle,5,Y
BACKLANE BET PERAK ROAD/MADRAS STREET,Motor Cycle,5,Y
BACKLANE OFF DESKER ROAD,Motor Cycle,6,Y
BACKLANE OFF ROWELL ROAD,Motor Cycle,10,Y
BACKLANE OFF SAM LEONG ROAD,Motor Cycle,13,Y
BACKLANE OFF SAM LEONG ROAD/JALAN BESAR,Motor Cycle,3,Y
BACKLANE OFF STURDEE ROAD,Motor Cycle,11,Y
BEATTY ROAD,Motor Cycle,0,Y
BEATTY ROAD OFF STREET,Motor Cycle,4,Y
BELILIOS LANE OFF STREET,Motor Cycle,0,Y
BENG WAN ROAD OFF STREET,Motor Cycle,0,Y
BIRCH ROAD,Motor Cycle,0,Y
BUFFALO ROAD SERVICE ROAD,Motor Cycle,0,Y
CAMPBELL LANE,Motor Cycle,0,Y
CHANDER ROAD,Motor Cycle,0,Y
CLIVE STREET,Motor Cycle,0,Y
CUFF ROAD,Motor Cycle,0,Y
DALHOUSIE LANE,Motor Cycle,0,Y
DESKER ROAD,Motor Cycle,0,Y
DICKSON ROAD,Motor Cycle,0,Y
DICKSON ROAD OFF STREET,Motor Cycle,6,Y
DUNLOP STREET,Motor Cycle,0,Y
FARRER PARK SQUASH & TENNIS CENTRE (SSC),Motor Cycle,25,Y
FLANDERS SQUARE,Motor Cycle,0,Y
HINDOO ROAD,Motor Cycle,7,Y
HINDOO ROAD OFF STREET,Motor Cycle,0,Y
HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,Motor Cycle,0,Y
JALAN BESAR / BEATTY ROAD OFF STREET,Motor Cycle,5,Y
JALAN SEMERBAK,Motor Cycle,0,Y
JOO AVENUE,Motor Cycle,0,Y
KAMPONG KAPOR ROAD,Motor Cycle,10,Y
KAMPONG KAPOR ROAD OFF STREET,Motor Cycle,12,Y
KERBAU ROAD,Motor Cycle,0,Y
KINTA ROAD,Motor Cycle,0,Y
KINTA ROAD OFF STREET,Motor Cycle,11,Y
KITCHENER ROAD,Motor Cycle,0,Y
LEMBU ROAD,Motor Cycle,0,Y
MAYO STREET,Motor Cycle,0,Y
MOONSTONE LANE,Motor Cycle,0,Y
NORRIS ROAD,Motor Cycle,0,Y
OPAL CRESCENT,Motor Cycle,0,Y
OWEN ROAD (SERANGOON/ RACE COURSE ROAD),Motor Cycle,0,Y
OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Motor Cycle,10,Y
PERAK ROAD,Motor Cycle,0,Y
PERUMAL ROAD,Motor Cycle,0,Y
PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),Motor Cycle,0,Y
PETAIN ROAD OFF STREET,Motor Cycle,0,Y
RACE COURSE LANE,Motor Cycle,0,Y
RACE COURSE ROAD,Motor Cycle,0,Y
RACE COURSE ROAD (BET BT TIMAH / RANGOON RD),Motor Cycle,0,Y
RACE COURSE ROAD / NORTHUMBERLAND ROAD,Motor Cycle,19,Y
RANGOON LANE,Motor Cycle,0,Y
RANGOON LANE OFF STREET,Motor Cycle,0,Y
RANGOON ROAD,Motor Cycle,0,Y
ROBERTS LANE,Motor Cycle,0,Y
ROWELL ROAD,Motor Cycle,0,Y
RUBY LANE,Motor Cycle,0,Y
SAM LEONG ROAD,Motor Cycle,8,Y
SERANGOON RD(KITCHENER RD/LAVENDER ST),Motor Cycle,0,Y
SERVICE ROAD OFF JALAN KELULUT,Motor Cycle,5,Y
SING AVENUE,Motor Cycle,0,Y
SING JOO WALK,Motor Cycle,0,Y
SOMME ROAD,Motor Cycle,0,Y
ST WILFRID SPORTS COMPLEX (SSC),Motor Cycle,5,Y
STARLIGHT ROAD / TERRACE,Motor Cycle,0,Y
STURDEE ROAD,Motor Cycle,0,Y
SYED ALWI ROAD (JALAN BESAR / SERANGOON RD),Motor Cycle,17,Y
SYED ALWI ROAD(JALAN BESAR/ROCHOR CANAL RD),Motor Cycle,0,Y
TESSENSOHN ROAD,Motor Cycle,0,Y
UPPER DICKSON ROAD,Motor Cycle,0,Y
